Female Selection Rate Before,Male Selection Rate Before,Female Selection Rate After,Male Selection Rate After,Demographic Parity Ratio Gender Before,Demographic Parity Ratio Gender After,Demographic Parity Difference Gender Before,Demographic Parity Difference Gender After
0.4957627118644068,0.3779527559055118,0.3771186440677966,0.3720472440944882,0.7623662426812032,0.9865522427674069,0.11780995595889499,0.00507139997330841
0.4872881355932203,0.36220472440944884,0.3601694915254237,0.3641732283464567,0.7433070866141733,0.9890059551076499,0.12508341118377148,0.004003736821032999
0.4915254237288136,0.36220472440944884,0.3940677966101695,0.38779527559055116,0.736899266901982,0.9840826348319363,0.12932069931936474,0.006272521019618338
0.4957627118644068,0.37401574803149606,0.3432203389830508,0.3661417322834646,0.7544249276532741,0.9373974849644613,0.12174696383291073,0.02292139330041376
0.4703389830508475,0.3484251968503937,0.3474576271186441,0.3484251968503937,0.7407959140242604,0.997223020204922,0.12191378620045379,0.0009675697317496068
0.4915254237288136,0.36220472440944884,0.3686440677966102,0.38779527559055116,0.736899266901982,0.9506151595973502,0.12932069931936474,0.019151207793940972
0.4915254237288136,0.3661417322834646,0.3347457627118644,0.36023622047244097,0.744909041542221,0.9292396035935907,0.125383691445349,0.025490457760576568
0.4957627118644068,0.3779527559055118,0.3940677966101695,0.3799212598425197,0.7623662426812032,0.9641012615358564,0.11780995595889499,0.01414653676764982
0.4957627118644068,0.37598425196850394,0.3644067796610169,0.3720472440944882,0.7583955851672387,0.979463725226437,0.11977845989590286,0.007640464433471272
0.4957627118644068,0.3720472440944882,0.3855932203389831,0.37401574803149606,0.7504542701393095,0.9699749069827809,0.1237154677699186,0.011577472307487013
0.4915254237288136,0.36811023622047245,0.3516949152542373,0.36811023622047245,0.7489139288623404,0.9554065077494788,0.12341518750834113,0.01641532096623516
0.4915254237288136,0.3720472440944882,0.3898305084745763,0.3720472440944882,0.7569237035025794,0.9543820609380349,0.11947817963432539,0.017783264380088093
0.4957627118644068,0.3720472440944882,0.3813559322033898,0.3858267716535433,0.7504542701393095,0.9884123140781736,0.1237154677699186,0.004470839450153474
0.4915254237288136,0.37401574803149606,0.3516949152542373,0.37598425196850394,0.7609285908226988,0.9353979944981808,0.11750967569731752,0.02428933671426664
0.4872881355932203,0.3700787401574803,0.3898305084745763,0.38188976377952755,0.759465936323177,0.9796302636083533,0.11720939543574,0.00794074469504874
0.4745762711864407,0.3464566929133858,0.3771186440677966,0.37598425196850394,0.7300337457817773,0.9969919490400778,0.12811957827305487,0.0011343920992926693
0.4957627118644068,0.36220472440944884,0.3516949152542373,0.36220472440944884,0.7306009825694866,0.9709837877671333,0.13355798745495795,0.010509809155211547
0.4915254237288136,0.3700787401574803,0.3813559322033898,0.38188976377952755,0.7529188161824599,0.9986021317490826,0.12144668357133326,0.0005338315761377332
0.3389830508474576,0.21456692913385828,0.3516949152542373,0.33661417322834647,0.6329724409448819,0.9571198178540936,0.12441612171359934,0.015080742025890825
0.4957627118644068,0.3720472440944882,0.3728813559322034,0.3720472440944882,0.7504542701393095,0.9977630637079457,0.1237154677699186,0.0008341118377152013
0.4957627118644068,0.3661417322834646,0.3771186440677966,0.3779527559055118,0.7385422975974157,0.9977930790960452,0.1296209795809422,0.0008341118377152013
0.4872881355932203,0.36220472440944884,0.3686440677966102,0.3641732283464567,0.7433070866141733,0.9878722056294688,0.12508341118377148,0.004470839450153474
0.4915254237288136,0.37401574803149606,0.3686440677966102,0.3661417322834646,0.7609285908226988,0.993212055389628,0.11750967569731752,0.0025023355131456038
0.5127118644067796,0.41732283464566927,0.4322033898305085,0.4271653543307087,0.813951975011388,0.9883433688436004,0.09538902976111036,0.005038035499799809
0.4915254237288136,0.36811023622047245,0.3559322033898305,0.3779527559055118,0.7489139288623404,0.9417372881355932,0.12341518750834113,0.022020552515681302
0.4915254237288136,0.37401574803149606,0.3855932203389831,0.38779527559055116,0.7609285908226988,0.9943216037167686,0.11750967569731752,0.0022020552515680802
0.4745762711864407,0.35236220472440943,0.3474576271186441,0.3464566929133858,0.7424775028121484,0.997119262531208,0.12221406646203126,0.0010009342052582637
0.4872881355932203,0.3700787401574803,0.3644067796610169,0.3858267716535433,0.759465936323177,0.9444828778969214,0.11720939543574,0.021419991992526366
0.4957627118644068,0.35826771653543305,0.3516949152542373,0.36023622047244097,0.7226596675415572,0.9762897101046587,0.13749499532897375,0.008541305218203676
0.3474576271186441,0.21456692913385828,0.3474576271186441,0.3562992125984252,0.617534088726714,0.9751849424103382,0.1328906979847858,0.008841585479781089
