Female False Negative Rate Before,Male False Negative Rate Before,Female False Negative Rate After,Male False Negative Rate After,Equalized Odds Ratio Gender Before,Equalized Odds Ratio Gender After,Equalized Odds Difference Gender Before,Equalized Odds Difference Gender After
0.10135135135135136,0.11822660098522167,0.13513513513513514,0.11822660098522167,0.7113095238095238,0.9372384937238494,0.03261356843992827,0.016908534149913446
0.10135135135135136,0.11822660098522167,0.10810810810810811,0.12315270935960591,0.8207417582417582,0.8368200836820083,0.019500896592946806,0.02039748953974896
0.10810810810810811,0.11330049261083744,0.0945945945945946,0.11822660098522167,0.9389285714285714,0.9738989780163224,0.006388224745965329,0.023632006390627014
0.10135135135135136,0.12315270935960591,0.08108108108108109,0.11330049261083744,0.7903439153439153,0.9372384937238494,0.023684997011356845,0.03221941152975638
0.08783783783783784,0.1330049261083744,0.10810810810810811,0.11822660098522167,0.902815934065934,0.8535714285714286,0.045167088270536504,0.015316796174536754
0.0945945945945946,0.12315270935960591,0.12837837837837837,0.12315270935960591,0.9389285714285714,0.9037656903765691,0.028558114765011244,0.012029288702928867
0.10135135135135136,0.12315270935960591,0.11486486486486487,0.10837438423645321,0.7903439153439153,0.9732861280978435,0.023684997011356845,0.006490480628411732
0.12162162162162163,0.15763546798029557,0.08108108108108109,0.06896551724137931,0.9484126984126984,0.9580903790087463,0.036013846358673995,0.012115563839701693
0.14864864864864866,0.15763546798029557,0.14864864864864866,0.15270935960591134,0.829861111111111,0.9372384937238494,0.02562761506276151,0.010086670651524215
0.0945945945945946,0.12315270935960591,0.11486486486486487,0.11822660098522167,0.7113095238095238,0.9389285714285714,0.03261356843992827,0.006388224745965329
0.40540540540540543,0.4975369458128079,0.23648648648648649,0.2561576354679803,0.8450515002239141,0.8786610878661087,0.09213154040740246,0.0346682606096832
0.10810810810810811,0.11822660098522167,0.10135135135135136,0.12807881773399016,0.7903439153439153,0.9702581577095448,0.023684997011356845,0.026727466382638787
0.10810810810810811,0.11330049261083744,0.10810810810810811,0.11330049261083744,0.7113095238095238,0.9389285714285714,0.03261356843992827,0.006388224745965329
0.0945945945945946,0.12315270935960591,0.08783783783783784,0.11822660098522167,0.9389285714285714,0.902815934065934,0.028558114765011244,0.030388763147383813
0.0945945945945946,0.12315270935960591,0.08783783783783784,0.11330049261083744,0.9389285714285714,0.7386675824175825,0.028558114765011244,0.02842946802151823
0.14189189189189189,0.1625615763546798,0.14864864864864866,0.15270935960591134,0.829861111111111,0.9145408163265306,0.02562761506276151,0.012514943215780033
0.11486486486486487,0.11330049261083744,0.1554054054054054,0.12807881773399016,0.902815934065934,0.8207417582417582,0.010572325164375382,0.02732658767141527
0.10810810810810811,0.11330049261083744,0.22297297297297297,0.11822660098522167,0.8207417582417582,0.881209421712215,0.019500896592946806,0.10474637198775139
0.42567567567567566,0.5024630541871922,0.32432432432432434,0.2660098522167488,0.6096938775510203,0.8129251700680271,0.07678737851151646,0.058314472107575566
0.25675675675675674,0.2413793103448276,0.25675675675675674,0.24630541871921183,0.9438530219780219,0.9848901098901098,0.015377446411929174,0.010451338037544944
0.12837837837837837,0.10837438423645321,0.07432432432432433,0.06896551724137931,0.45727040816326525,0.9798402434385698,0.0317916915720263,0.005358807082945005
0.10810810810810811,0.11330049261083744,0.14864864864864866,0.12807881773399016,0.9372384937238494,0.7903439153439153,0.006724447101016134,0.023684997011356845
0.12162162162162163,0.11822660098522167,0.08108108108108109,0.07389162561576355,0.8207417582417582,0.9372384937238494,0.009750448296473403,0.0071894554653174625
0.10135135135135136,0.12315270935960591,0.0945945945945946,0.11330049261083744,0.902815934065934,0.8693783068783069,0.021801358008254557,0.018705898016242783
0.10135135135135136,0.11822660098522167,0.10135135135135136,0.11822660098522167,0.8207417582417582,0.9372384937238494,0.019500896592946806,0.016875249633870326
0.10135135135135136,0.11822660098522167,0.12162162162162163,0.11330049261083744,0.9389285714285714,0.9762900976290098,0.016875249633870326,0.00832112901078419
0.10810810810810811,0.11330049261083744,0.10135135135135136,0.11822660098522167,0.9389285714285714,0.8651432249758609,0.006388224745965329,0.016875249633870326
0.14864864864864866,0.15763546798029557,0.16216216216216217,0.15763546798029557,0.829861111111111,0.9484126984126984,0.02562761506276151,0.0077704722056186615
0.10810810810810811,0.12807881773399016,0.1554054054054054,0.12807881773399016,0.9776085982982535,0.968659337303405,0.01997070962588199,0.02732658767141527
0.12162162162162163,0.10837438423645321,0.12162162162162163,0.12315270935960591,0.902815934065934,0.9372384937238494,0.01324723738516842,0.007284817692767481
